prompt,code
get me a rg with name South Johnny in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Johnny""
    location =""SouthCentralUS""
}
"
get me a rg with name Port Destinyborough in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Destinyborough""
    location =""SouthCentralUS""
}
"
get me a rg with name Brownfurt in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Brownfurt""
    location =""WestUS""
}
"
get me a rg with name Port Davidmouth in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Davidmouth""
    location =""NorthCentralUS""
}
"
get me a rg with name North Charlottemouth in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Charlottemouth""
    location =""WestUS""
}
"
get me a rg with name Whiteside in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Whiteside""
    location =""WestUS""
}
"
get me a rg with name Woodberg in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Woodberg""
    location =""EastUS""
}
"
get me a rg with name Hamiltonchester in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Hamiltonchester""
    location =""SouthCentralUS""
}
"
get me a rg with name Kimfort in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Kimfort""
    location =""EastUS2""
}
"
get me a rg with name Susanville in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Susanville""
    location =""SouthCentralUS""
}
"
get me a rg with name New Melindaville in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Melindaville""
    location =""SouthCentralUS""
}
"
get me a rg with name Timothyton in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Timothyton""
    location =""EastUS2""
}
"
get me a rg with name Dustinchester in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Dustinchester""
    location =""SouthCentralUS""
}
"
get me a rg with name Paulaside in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Paulaside""
    location =""SouthCentralUS""
}
"
get me a rg with name West Dianamouth in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Dianamouth""
    location =""NorthCentralUS""
}
"
get me a rg with name New Scott in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Scott""
    location =""EastUS2""
}
"
get me a rg with name West Luis in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Luis""
    location =""NorthCentralUS""
}
"
get me a rg with name North Amymouth in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Amymouth""
    location =""EastUS""
}
"
get me a rg with name West Kenneth in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Kenneth""
    location =""WestUS""
}
"
get me a rg with name Virginiaborough in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Virginiaborough""
    location =""SouthCentralUS""
}
"
get me a rg with name South Steven in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Steven""
    location =""EastUS2""
}
"
get me a rg with name Kristinamouth in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Kristinamouth""
    location =""WestUS""
}
"
get me a rg with name Robertview in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Robertview""
    location =""EastUS""
}
"
get me a rg with name Tamaraport in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Tamaraport""
    location =""SouthCentralUS""
}
"
get me a rg with name North Loriton in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Loriton""
    location =""WestUS""
}
"
get me a rg with name Port Margaretland in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Margaretland""
    location =""EastUS""
}
"
get me a rg with name Johnfurt in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Johnfurt""
    location =""NorthCentralUS""
}
"
get me a rg with name Hollowayfurt in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Hollowayfurt""
    location =""NorthCentralUS""
}
"
get me a rg with name North Jasonburgh in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Jasonburgh""
    location =""WestUS""
}
"
get me a rg with name East Amandaside in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Amandaside""
    location =""EastUS2""
}
"
get me a rg with name Mccormickview in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Mccormickview""
    location =""EastUS2""
}
"
get me a rg with name Dorseyshire in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Dorseyshire""
    location =""WestUS""
}
"
get me a rg with name Alexhaven in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Alexhaven""
    location =""NorthCentralUS""
}
"
get me a rg with name West Emilytown in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Emilytown""
    location =""NorthCentralUS""
}
"
get me a rg with name Leslieside in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Leslieside""
    location =""NorthCentralUS""
}
"
get me a rg with name North Sarahchester in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Sarahchester""
    location =""NorthCentralUS""
}
"
get me a rg with name East Jeffreyview in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Jeffreyview""
    location =""SouthCentralUS""
}
"
get me a rg with name Carmenburgh in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Carmenburgh""
    location =""SouthCentralUS""
}
"
get me a rg with name Sheliamouth in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Sheliamouth""
    location =""EastUS""
}
"
get me a rg with name New Gabrielleburgh in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Gabrielleburgh""
    location =""EastUS2""
}
"
get me a rg with name New Andre in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Andre""
    location =""WestUS""
}
"
get me a rg with name Youngview in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Youngview""
    location =""WestUS""
}
"
get me a rg with name Garciaport in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Garciaport""
    location =""NorthCentralUS""
}
"
get me a rg with name South Teresabury in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Teresabury""
    location =""EastUS2""
}
"
get me a rg with name North Charles in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Charles""
    location =""WestUS""
}
"
get me a rg with name Port Jasmine in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Jasmine""
    location =""EastUS""
}
"
get me a rg with name Simonburgh in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Simonburgh""
    location =""EastUS""
}
"
get me a rg with name East David in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East David""
    location =""EastUS2""
}
"
get me a rg with name Wernertown in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Wernertown""
    location =""NorthCentralUS""
}
"
get me a rg with name Christopherville in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Christopherville""
    location =""EastUS""
}
"
get me a rg with name Steeleview in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Steeleview""
    location =""EastUS""
}
"
get me a rg with name Maryshire in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Maryshire""
    location =""SouthCentralUS""
}
"
get me a rg with name Lake William in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake William""
    location =""SouthCentralUS""
}
"
get me a rg with name Carolport in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Carolport""
    location =""NorthCentralUS""
}
"
get me a rg with name Lake Anthony in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake Anthony""
    location =""WestUS""
}
"
get me a rg with name South Danielburgh in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Danielburgh""
    location =""EastUS2""
}
"
get me a rg with name South Brenda in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Brenda""
    location =""EastUS""
}
"
get me a rg with name Amberfort in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Amberfort""
    location =""NorthCentralUS""
}
"
get me a rg with name Lake Anitaland in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake Anitaland""
    location =""WestUS""
}
"
get me a rg with name Karenbury in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Karenbury""
    location =""EastUS""
}
"
get me a rg with name Rogersberg in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Rogersberg""
    location =""EastUS""
}
"
get me a rg with name Kellyberg in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Kellyberg""
    location =""EastUS""
}
"
get me a rg with name Port Christopherstad in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Christopherstad""
    location =""EastUS2""
}
"
get me a rg with name Catherineside in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Catherineside""
    location =""NorthCentralUS""
}
"
get me a rg with name Boydborough in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Boydborough""
    location =""EastUS2""
}
"
get me a rg with name East Veronicafurt in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Veronicafurt""
    location =""SouthCentralUS""
}
"
get me a rg with name Gayfort in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Gayfort""
    location =""EastUS2""
}
"
get me a rg with name Lake William in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake William""
    location =""EastUS2""
}
"
get me a rg with name New Kellymouth in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Kellymouth""
    location =""EastUS2""
}
"
get me a rg with name Olsonville in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Olsonville""
    location =""SouthCentralUS""
}
"
get me a rg with name East Carrie in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Carrie""
    location =""EastUS2""
}
"
get me a rg with name North Kenneth in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Kenneth""
    location =""EastUS""
}
"
get me a rg with name Debraville in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Debraville""
    location =""WestUS""
}
"
get me a rg with name Port Jessefurt in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Jessefurt""
    location =""EastUS""
}
"
get me a rg with name East Karenstad in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Karenstad""
    location =""WestUS""
}
"
get me a rg with name West Katrinafort in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Katrinafort""
    location =""NorthCentralUS""
}
"
get me a rg with name Port Reneeville in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Reneeville""
    location =""NorthCentralUS""
}
"
get me a rg with name Millerstad in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Millerstad""
    location =""SouthCentralUS""
}
"
get me a rg with name Hectormouth in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Hectormouth""
    location =""EastUS2""
}
"
get me a rg with name Port Shawn in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Shawn""
    location =""WestUS""
}
"
get me a rg with name Darylburgh in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Darylburgh""
    location =""SouthCentralUS""
}
"
get me a rg with name Sethview in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Sethview""
    location =""EastUS2""
}
"
get me a rg with name West Suzanne in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Suzanne""
    location =""EastUS""
}
"
get me a rg with name West Olivia in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Olivia""
    location =""EastUS""
}
"
get me a rg with name Lake Cherylshire in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake Cherylshire""
    location =""WestUS""
}
"
get me a rg with name New Karenton in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Karenton""
    location =""EastUS2""
}
"
get me a rg with name Tamarashire in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Tamarashire""
    location =""EastUS""
}
"
get me a rg with name New Patrick in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Patrick""
    location =""WestUS""
}
"
get me a rg with name Wongfurt in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Wongfurt""
    location =""EastUS2""
}
"
get me a rg with name South Jessica in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Jessica""
    location =""SouthCentralUS""
}
"
get me a rg with name West Lisa in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Lisa""
    location =""NorthCentralUS""
}
"
get me a rg with name Taylorshire in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Taylorshire""
    location =""WestUS""
}
"
get me a rg with name Veronicastad in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Veronicastad""
    location =""WestUS""
}
"
get me a rg with name Danielmouth in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Danielmouth""
    location =""EastUS2""
}
"
get me a rg with name Alexandriamouth in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Alexandriamouth""
    location =""SouthCentralUS""
}
"
get me a rg with name Davidton in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Davidton""
    location =""NorthCentralUS""
}
"
get me a rg with name North Joshuamouth in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Joshuamouth""
    location =""NorthCentralUS""
}
"
get me a rg with name Rodriguezview in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Rodriguezview""
    location =""WestUS""
}
"
get me a rg with name Brendabury in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Brendabury""
    location =""SouthCentralUS""
}
"
get me a rg with name Amberborough in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Amberborough""
    location =""SouthCentralUS""
}
"
get me a rg with name New Jonfurt in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Jonfurt""
    location =""SouthCentralUS""
}
"
get me a rg with name Port Patrick in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Patrick""
    location =""NorthCentralUS""
}
"
get me a rg with name Stanleyhaven in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Stanleyhaven""
    location =""EastUS""
}
"
get me a rg with name Mooreville in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Mooreville""
    location =""WestUS""
}
"
get me a rg with name Russellchester in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Russellchester""
    location =""SouthCentralUS""
}
"
get me a rg with name North Rachelton in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Rachelton""
    location =""WestUS""
}
"
get me a rg with name East Crystalton in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Crystalton""
    location =""NorthCentralUS""
}
"
get me a rg with name South Samuel in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Samuel""
    location =""EastUS2""
}
"
get me a rg with name East Bryan in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Bryan""
    location =""NorthCentralUS""
}
"
get me a rg with name South Maria in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Maria""
    location =""EastUS""
}
"
get me a rg with name East Cherylfurt in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Cherylfurt""
    location =""EastUS2""
}
"
get me a rg with name Leebury in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Leebury""
    location =""WestUS""
}
"
get me a rg with name Robertsonfurt in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Robertsonfurt""
    location =""SouthCentralUS""
}
"
get me a rg with name Lopezchester in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lopezchester""
    location =""EastUS2""
}
"
get me a rg with name Randallchester in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Randallchester""
    location =""SouthCentralUS""
}
"
get me a rg with name East Paul in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Paul""
    location =""EastUS2""
}
"
get me a rg with name Cherylstad in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Cherylstad""
    location =""SouthCentralUS""
}
"
get me a rg with name Toddbury in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Toddbury""
    location =""SouthCentralUS""
}
"
get me a rg with name Lake Sandrachester in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake Sandrachester""
    location =""EastUS2""
}
"
get me a rg with name East Melaniemouth in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Melaniemouth""
    location =""EastUS""
}
"
get me a rg with name Mcguirestad in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Mcguirestad""
    location =""SouthCentralUS""
}
"
get me a rg with name New Margaretshire in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Margaretshire""
    location =""SouthCentralUS""
}
"
get me a rg with name East Anne in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Anne""
    location =""SouthCentralUS""
}
"
get me a rg with name Rhondaton in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Rhondaton""
    location =""WestUS""
}
"
get me a rg with name Scottport in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Scottport""
    location =""NorthCentralUS""
}
"
get me a rg with name West Timothy in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Timothy""
    location =""EastUS2""
}
"
get me a rg with name Acostaview in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Acostaview""
    location =""EastUS""
}
"
get me a rg with name Port Jasonland in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Jasonland""
    location =""NorthCentralUS""
}
"
get me a rg with name Port Beverlyfort in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Beverlyfort""
    location =""SouthCentralUS""
}
"
get me a rg with name Jordanside in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Jordanside""
    location =""WestUS""
}
"
get me a rg with name Perezhaven in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Perezhaven""
    location =""NorthCentralUS""
}
"
get me a rg with name Andresstad in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Andresstad""
    location =""WestUS""
}
"
get me a rg with name North Sandraville in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Sandraville""
    location =""EastUS2""
}
"
get me a rg with name Wernerland in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Wernerland""
    location =""EastUS""
}
"
get me a rg with name Ericaside in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Ericaside""
    location =""EastUS2""
}
"
get me a rg with name North Larryburgh in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Larryburgh""
    location =""NorthCentralUS""
}
"
get me a rg with name Davidberg in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Davidberg""
    location =""WestUS""
}
"
get me a rg with name East Jeffrey in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Jeffrey""
    location =""NorthCentralUS""
}
"
get me a rg with name Jodifort in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Jodifort""
    location =""WestUS""
}
"
get me a rg with name Barkerport in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Barkerport""
    location =""SouthCentralUS""
}
"
get me a rg with name Lake Markhaven in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake Markhaven""
    location =""EastUS2""
}
"
get me a rg with name South Tyler in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Tyler""
    location =""EastUS2""
}
"
get me a rg with name Morrisonmouth in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Morrisonmouth""
    location =""EastUS""
}
"
get me a rg with name Bennettstad in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Bennettstad""
    location =""SouthCentralUS""
}
"
get me a rg with name New Lonnie in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Lonnie""
    location =""EastUS""
}
"
get me a rg with name West Michelle in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Michelle""
    location =""WestUS""
}
"
get me a rg with name Port William in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port William""
    location =""WestUS""
}
"
get me a rg with name Chambersberg in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Chambersberg""
    location =""EastUS2""
}
"
get me a rg with name South Robert in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Robert""
    location =""WestUS""
}
"
get me a rg with name West Alanshire in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Alanshire""
    location =""NorthCentralUS""
}
"
get me a rg with name New Kenneth in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Kenneth""
    location =""EastUS2""
}
"
get me a rg with name Delacruzside in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Delacruzside""
    location =""WestUS""
}
"
get me a rg with name New Rhondaside in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""New Rhondaside""
    location =""NorthCentralUS""
}
"
get me a rg with name North Samuel in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""North Samuel""
    location =""WestUS""
}
"
get me a rg with name Pattersonton in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Pattersonton""
    location =""SouthCentralUS""
}
"
get me a rg with name West Brandon in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Brandon""
    location =""WestUS""
}
"
get me a rg with name Thomasville in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Thomasville""
    location =""SouthCentralUS""
}
"
get me a rg with name Robinport in location WestUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Robinport""
    location =""WestUS""
}
"
get me a rg with name Port Calvinberg in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Port Calvinberg""
    location =""EastUS2""
}
"
get me a rg with name Shawside in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Shawside""
    location =""EastUS2""
}
"
get me a rg with name Hernandezhaven in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Hernandezhaven""
    location =""NorthCentralUS""
}
"
get me a rg with name East Lisaville in location EastUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East Lisaville""
    location =""EastUS""
}
"
get me a rg with name Cherylhaven in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Cherylhaven""
    location =""NorthCentralUS""
}
"
get me a rg with name East April in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""East April""
    location =""EastUS2""
}
"
get me a rg with name South Danielleport in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""South Danielleport""
    location =""NorthCentralUS""
}
"
get me a rg with name Lake Timothy in location NorthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Lake Timothy""
    location =""NorthCentralUS""
}
"
get me a rg with name West Kelsey in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""West Kelsey""
    location =""SouthCentralUS""
}
"
get me a rg with name Ronnieland in location SouthCentralUS,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Ronnieland""
    location =""SouthCentralUS""
}
"
get me a rg with name Jacobfort in location EastUS2,"
resource ""azurerm_resource_group"" ""example"" {
    name=""Jacobfort""
    location =""EastUS2""
}
"
